,city,Cloundiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
243,deder,44,ET,1665350294,67,9.3167,41.45,57.52,2.55
244,labuhan,100,ID,1665350294,83,-6.8844,112.2051,79.16,5.03
245,khani,100,GE,1665350294,99,41.9563,42.9566,51.37,2.71
246,high rock,46,BS,1665350294,73,26.6208,-78.2833,78.82,6.38
247,chihuahua,37,MX,1665350294,49,28.5,-106.0,70.63,9.31
248,itarema,47,BR,1665350294,82,-2.9248,-39.9167,79.23,18.88
249,dayong,99,CN,1665350294,71,25.0209,118.2898,69.01,3.96
250,santa rosa,30,PH,1665350294,87,14.3122,121.1114,82.38,3.67
251,saint george,0,US,1665350295,24,37.1041,-113.5841,87.44,4.0
252,ancud,3,CL,1665350295,65,-41.8697,-73.8203,50.43,6.76
253,berlevag,75,NO,1665350295,81,70.8578,29.0864,42.8,23.02
254,nyagan,100,RU,1665350295,83,62.1406,65.3936,45.79,8.99
255,dicabisagan,63,PH,1665350295,87,17.0818,122.4157,76.8,9.04
256,wonthaggi,16,AU,1665350295,78,-38.6044,145.5913,48.81,6.38
257,yumen,0,CN,1665350295,20,40.2833,97.2,36.81,4.14
258,orange cove,0,US,1665350296,23,36.6244,-119.3137,94.24,4.61
259,richards bay,100,ZA,1665350042,80,-28.783,32.0377,71.02,21.9
260,manaus,20,BR,1665350278,40,-3.1019,-60.025,93.7,5.75
261,havre-saint-pierre,100,CA,1665350296,81,50.2334,-63.5986,43.16,2.3
262,tasiilaq,100,GL,1665350072,91,65.6145,-37.6368,33.96,6.93
263,mon,74,IN,1665350296,98,26.75,95.1,66.65,3.02
264,bandiagara,39,ML,1665350296,39,14.3501,-3.6104,88.2,6.93
265,puerto escondido,75,MX,1665350296,51,15.85,-97.0667,88.63,9.22
266,kieta,92,PG,1665350296,69,-6.2167,155.6333,80.49,1.07
267,oshnaviyeh,16,IR,1665350296,44,37.0397,45.0983,60.19,7.18
268,san juan,0,AR,1665350034,12,-31.5375,-68.5364,68.85,4.72
269,mount gambier,78,AU,1665350297,93,-37.8333,140.7667,40.91,5.75
270,bani walid,0,LY,1665350297,63,31.7566,13.9942,70.93,9.98
271,kokstad,95,ZA,1665350297,86,-30.5472,29.4241,57.42,3.38
272,sovetskiy,100,RU,1665350297,87,61.3614,63.5842,45.99,8.72
273,olafsvik,63,IS,1665350297,70,64.8945,-23.7142,37.06,22.68
274,omboue,100,GA,1665350297,88,-1.5746,9.2618,77.43,6.78
275,sur,6,OM,1665350082,56,22.5667,59.5289,80.24,5.03
276,tuatapere,100,NZ,1665350297,75,-46.1333,167.6833,52.66,6.62
277,constitucion,0,CL,1665350298,53,-35.3333,-72.4167,60.33,17.72
278,marystown,4,CA,1665350298,72,47.1666,-55.1483,50.34,10.47
279,miramar,100,US,1665350298,90,25.9873,-80.2323,82.42,5.75
280,bubaque,88,GW,1665350298,74,11.2833,-15.8333,81.64,5.5
281,muhos,39,FI,1665350298,91,64.808,25.9931,44.89,6.8
282,dawlatabad,0,AF,1665350298,18,36.4141,64.9053,56.66,2.24
283,kingaroy,100,AU,1665350299,94,-26.5333,151.8333,60.84,10.36
284,tiarei,21,PF,1665350299,75,-17.5333,-149.3333,82.42,14.67
285,gourcy,51,BF,1665350299,53,13.2167,-2.35,83.43,7.29
286,vostok,66,RU,1665350299,79,46.4856,135.8833,32.5,4.47
287,hellvik,79,NO,1665350299,72,59.9156,5.781,56.77,18.99
288,shakawe,0,BW,1665350300,16,-18.3667,21.85,72.46,7.34
289,hithadhoo,100,MV,1665350074,76,-0.6,73.0833,81.43,16.15
290,brae,100,GB,1665350300,68,60.3964,-1.353,50.77,22.24
291,petropavlovsk-kamchatskiy,40,RU,1665350300,69,53.0452,158.6483,34.39,2.24
292,sangar,100,RU,1665350125,93,63.9242,127.4739,26.74,12.1
293,yarim,16,YE,1665350300,57,14.298,44.3779,55.38,1.59
294,zharkent,100,KZ,1665350300,38,44.1628,80.0,54.86,4.54
295,riyadh,0,SA,1665349898,14,24.6877,46.7219,77.14,7.34
296,yanam,100,IN,1665350301,95,16.7333,82.2167,76.08,4.74
297,uspenka,100,UA,1665350301,64,48.3903,39.1619,61.0,6.2
298,bongaree,100,AU,1665350301,79,-27.0797,153.1586,68.14,23.17
299,bonavista,0,CA,1665350301,71,48.6499,-53.1147,52.57,6.42
300,lashio,31,MM,1665350302,99,22.9333,97.75,64.96,1.45
301,vitim,100,RU,1665350302,97,59.4511,112.5578,35.62,9.69
302,chino valley,40,US,1665350302,37,34.7575,-112.4538,76.68,4.61
303,avera,98,US,1665350302,50,33.194,-82.5271,76.37,2.77
304,mumford,80,GH,1665350302,88,5.2618,-0.759,77.0,7.81
